100aC;100aS;100eC;100eS;100dC;100dS;120C;120S;130C;130S;150aC;150aS;150bC;150bS;150cC;150cS;200aC;200aS;200bC;200bS;202C;202S;535aC;535aS;1000C;1000S;1323C;1323S;1400C;1400S;1748C;1748S;1889C;1889S;2392C;2392S;3038C;3038S;3795C;3795S;5934C;5934S;7397C;7397S
21650;21513;22506;22233;21925;23112;16596;16520;62933;63379;67599;66216;27370;27564;26684;27573;30983;29966;30509;30640;42200;43469;237712;220045;20647471,1;20162032,14;282094,8223;287835,9476;32904,066;27980,78887;35989;35224;342977,168;340720,8461;399280,4632;437104,1887;146212,7417;150100,5214;52539;58440;61814;60304;42182;29211
21765;21580;22411;22510;22247;22298;16610;17027;63895;63183;68498;69128;27220;27185;26602;27063;30450;30458;31113;31103;42329;43291;223699;227738;20205861,51;19853577,29;285743,235;295459,2915;35277,65859;28793,84311;35449;35469;338378,1646;330968,1019;397196,5094;419979,0387;145849,2156;147835,6726;55291;58826;61966;60682;41987;28818
22163;22996;22577;22672;22219;22245;16957;16601;63096;63275;67199;68541;27908;27350;26647;26708;30839;30688;30690;30838;43059;41965;237712;235399;19993082,91;19767648,87;291749,2906;285187,48;31658,6729;37272,9601;36772;36287;338716,6926;343149,3838;401713,7903;420598,2925;145603,9814;147187,0943;58247;52440;62345;60543;39978;28558
22251;21645;22781;23134;22283;23458;16756;17036;63166;63189;66596;68494;27370;27063;27358;26785;30437;30945;31028;31099;42370;43447;230827;234520;20276411,82;19720230,72;300135,8796;286348,6582;31482,23185;31961,27905;35658;36038;338021,3004;338914,5799;406242,1317;419206,9866;144524,5048;147837,2936;51633;53053;61698;60789;44382;30245
22959;22737;22639;22890;21872;22083;16778;17449;63696;63842;68018;69505;28005;27617;27016;27427;30882;30275;31533;30560;43709;42165;224251;225717;19723535,63;19925357,34;281887,5233;293152,0437;35575,4727;30071,69612;36312;35148;338069,1937;339823,3732;409930,147;418569,0783;145899,2696;149029,745;55483;63508;62877;62742;45662;30178
23774;22315;22868;22673;22433;22431;16658;16711;63189;63132;67440;68053;27953;27641;26902;26588;30743;30820;30252;31065;41922;43531;225280;240981;20288083,12;19955177,78;282825,8083;297099,9195;31416,15301;27997,80672;36482;35211;343727,9449;348811,5051;402962,8924;403555,865;146604,5562;149978,5219;51715;50023;63985;61376;41567;27905
21829;21382;22301;22364;22165;22738;16896;16681;62891;62791;67188;66711;27644;28107;26783;26635;30623;30398;30450;31057;41822;42036;225250;222491;19988202,58;19527937,55;289048,1913;293746,2842;34182,65486;26049,5017;35868;35469;343313,35;342039,8283;401822,9845;417950,4102;145822,0595;147181,7976;54211;55883;63132;61623;41587;28802
22484;22073;22987;22474;21873;21563;17014;16780;64436;64170;66964;68362;27105;27154;27314;26989;31247;30341;30997;30597;42334;45625;225282;217311;20512659,69;19616480,02;291538,7831;289283,6921;31822,01106;28387,46589;36999;36152;336027,0369;344729,7776;398805,7672;401350,0601;145369,5553;149704,4739;54813;54357;62458;61101;40809;28564
21674;21822;24532;22355;21995;21982;16627;16666;62464;64553;70096;68023;27591;27270;26955;26850;30558;30835;30298;31198;41313;44477;227690;228829;19575057,78;19981678,42;280055,1784;292785,2175;27000,25786;27604,85892;37285;35829;341238,3441;349948,7999;402532,5465;445640,0382;144898,9932;148417,3458;54806;55667;60933;62173;43117;28873
23224;22701;23016;22976;22134;22004;16664;17042;62887;63493;69796;67679;27900;27981;27236;27537;31160;30381;29736;30513;41744;44194;224376;251661;19634171,27;19881691,79;283149,1879;292795,7436;32471,76442;30485,08715;37729;35778;345339,4562;341012,6511;400240,2958;429718,0994;145152,4726;151945,3382;55859;54302;61026;60347;45343;28369
22533;22348;23426;23966;21890;21822;17178;16855;62943;62901;68082;66889;27600;26830;27205;27002;29834;30055;30670;30628;40902;41947;224988;224306;19564052,45;19928951,27;286674,8768;288887,9037;32507,5204;26880,54945;36473;35370;339945,4283;351253,7286;399928,995;432377,8572;146240,7155;149297,5856;53867;47522;63679;63152;40369;30607
22429;22421;22625;22867;21755;22548;16869;16553;63731;63482;67752;67511;27089;27665;27000;26612;30594;30205;30185;30775;41279;43443;232651;220320;19364008,56;20532905,68;284445,0567;297211,1435;31472,43641;28620,68012;36030;35562;354172,3866;347305,3338;403174,6369;417723,7423;146477,7651;148831,9194;50489;53996;61550;62593;43717;29487
22377;21966;23109;22899;21882;22314;16817;16605;61930;63101;66483;69401;28039;27781;27395;27381;31196;30212;31332;30891;41503;47397;224642;235304;19583923,21;19606959,21;285006,8433;284728,4561;29278,29396;27572,31356;35737;34997;358528,8673;340529,1847;404014,0942;419411,7821;146482,7474;147408,2103;51605;53885;60710;60481;45664;29282
22274;21645;22568;23453;22171;21576;17147;17449;62333;62281;68119;68169;27515;27933;26593;27444;30480;30129;31997;30952;43802;42732;232383;228941;20106153,07;20562180,42;286650,3241;295919,1113;32728,78396;30027,28101;36439;35365;340201,1513;338379,6022;402662,1308;425620,869;145367,4244;148264,4069;52018;55148;61067;61992;39427;29134
22104;21599;22338;23293;22629;22718;16682;16635;63259;63910;67215;68934;27404;27454;27237;26817;30548;29817;30233;31479;42476;45460;245502;233268;20240401,47;20854442,63;289296,1657;295918,7574;31438,27624;32140,98666;37542;35203;342758,9326;353982,4717;400978,0017;412953,5996;146889,0804;145162,0954;55323;56495;62437;61387;40256;30143
22136;22041;24320;22448;22049;22286;17889;17315;62862;62703;66012;67597;27651;27837;26555;26654;30401;31525;30359;30742;41547;44377;216767;225044;20151488,52;20783560,88;287906,9216;280826,5337;33151,0398;27866,19447;35332;35818;342958,6582;338828,1334;400463,4612;410772,2224;146497,3952;146889,5497;55634;49694;62219;62056;46076;28003
21474;21981;22545;22508;22371;22018;16442;16799;62449;62516;67059;66472;27105;27572;27325;27002;31073;30255;30920;31259;40998;42862;229847;234891;20908202,36;19610535,49;286742,7467;290929,6772;25003,13702;28857,84396;35976;35562;347535,7618;340892,9335;401998,8657;407755,5387;145025,6089;152740,9179;51407;53208;63014;61639;40707;30487
22123;21484;22579;23009;22964;22497;16626;16460;65879;63698;68606;67480;27520;28167;27540;27479;30019;29536;30913;31007;42225;43266;233351;224398;19637762,57;19579757,41;290014,1984;288998,0021;32892,70682;27501,16392;36112;35792;347100,785;346801,9104;401269,4717;420136,5079;145758,1116;148465,5701;56262;53810;63515;61117;41600;28050
22036;23084;22491;22712;22154;22870;16489;16646;64022;62302;66584;66979;27294;27612;26566;26931;30373;30160;30190;30341;41459;44444;228019;229387;20000569,84;20568606,29;287049,2728;289483,4498;32088,5813;26829,89329;35910;35997;343372,4478;341507,8429;402121,0677;423753,9905;146067,3748;148283,7081;57785;49665;61511;61466;39523;28743
22131;21762;22731;22755;21832;22650;16791;16644;63024;63343;67608;68643;28294;26733;26879;26896;30514;30558;31177;30641;41860;44689;237794;220182;19735796,96;19939767,79;285154,9071;286070,9824;30864,48821;28650,02066;35849;35287;345110,995;342942,4959;403224,8109;406375,6369;145173,2443;148890,4055;58814;54887;61706;61181;40600;29283
22128;22129;23024;22976;21761;21569;16749;16802;64098;61771;69183;67571;28048;28973;27684;26948;30658;30662;30047;30332;40883;41639;224034;219651;20198918,25;20295198,1;281261,4495;285463,695;32297,53637;30608,26928;36221;35302;341044,0892;336435,3037;399095,8571;429272,6643;145273,1422;147793,8617;59347;57042;62747;60665;38958;27204
21307;21359;22163;22856;22087;21756;16337;16749;64161;62638;67561;68633;27758;27324;26993;26580;30247;30421;32404;31248;42102;43207;228279;212833;20111318,65;19890952,53;284315,2639;291994,5392;34310,60978;30474,5282;35932;35385;350622,787;342024,0126;396624,8595;448215,9642;145780,4813;148933,5929;52621;56998;62261;61292;38780;29157
21480;21474;22493;22530;22101;21982;16502;16549;65229;65777;67266;68048;27384;27350;26706;26934;30461;29871;30770;31158;40930;44158;241903;231603;20255579,06;19395482,7;289353,0674;287843,7236;33578,62674;31166,03888;36563;35612;342725,3542;339827,4253;399359,7131;425476,7552;145649,6496;150576,8567;53623;51713;63486;61076;39771;27890
22164;22341;22581;22351;21541;22868;16468;16633;62479;62847;67324;69719;28145;26973;26446;26989;31689;30160;30442;30867;42042;46654;218849;225025;20256554,95;20086835,7;288681,9496;286794,3289;33314,57877;25268,34791;35546;35404;339947,4783;341074,2818;401820,3102;435518,5292;146504,6503;149598,1084;56249;49772;63182;61016;41615;29383
21571;21677;23730;22279;22426;22349;16763;16818;63885;62801;67122;66496;28269;26950;26473;27940;31052;30045;30442;30616;41486;43252;221738;229444;19689788,06;20212971,19;285338,3834;293450,9408;29118,49049;27487,83172;35906;35504;350982,7295;341652,5957;399206,0422;444250,7631;145265,7229;151625,2218;56147;46595;61446;61105;42539;29023
21838;22150;22910;22557;21755;21641;16715;17517;63267;62798;68557;67757;27681;28392;27362;27109;30925;30254;30221;30206;42477;43682;222103;218068;19906644,17;20554372,63;292045,8679;284075,0078;33348,74454;26529,44876;36687;35914;340411,2958;337296,7756;400710,9024;418625,5292;146281,8699;149771,0024;51633;57650;64395;61224;39692;29554
22290;22290;22542;22399;21391;22610;17057;16961;62718;63840;69890;68004;27822;28106;27287;27060;30964;30533;30187;30391;42307;45418;228731;224509;19891087,32;20221724,11;283849,5915;293343,9982;30995,09878;29798,85014;36846;35616;335963,3694;348071,6334;405464,3303;416075,7363;145688,2366;146054,6515;54968;55963;61478;59806;42490;28458
21809;21840;22178;23050;21576;22489;16954;16908;63556;62015;68007;69068;27989;27355;26489;27430;30298;30359;30739;30564;40816;42679;229217;241078;20287864,39;19953004,75;281229,9889;284462,8621;27120,44987;29531,16546;36955;35325;347423,8623;344335,1254;401722,045;414897,1966;145967,8613;146692,7334;52192;50745;61984;60823;39075;28347
23179;22207;22942;22499;22018;22406;16591;16653;62125;65227;69687;69467;27537;27725;26651;27092;29927;31261;31156;30968;42598;42582;226119;234822;20143805,58;19883014,33;287197,693;290148,7158;28133,0414;25401,22642;35018;36037;353023,3142;342145,2464;398787,8885;442558,94;145935,3924;149769,1665;51587;54222;61258;60857;40293;27926
21896;22220;22358;22621;22180;22180;17136;16539;62403;63858;68048;66493;27340;28509;27119;26291;30741;30380;30355;31336;41120;42337;237657;237975;20134935,64;20376944,79;288411,1521;291569,5422;29010,35701;28949,8864;35794;35570;342392,7604;339437,8786;401844,4661;419725,4536;146510,8975;148464,9661;51512;56504;63524;60511;39436;30096
22338;22161;22447;22275;22521;22479;17735;16905;63669;65293;67373;69906;28211;27943;26743;26726;29466;31078;30880;30198;41455;42968;240149;223394;19695449,91;21334684,74;285299,4871;291457,8696;31754,19803;26706,74308;34982;35511;340064,9866;339120,4173;407790,166;431958,6716;146050,3189;146341,5195;56990;54279;61284;61887;42164;28827
21893;23039;22447;22605;22211;22493;16758;16734;64422;64033;65939;67967;27845;27527;26389;26831;30429;30369;30147;31575;41995;43741;223587;239277;20483883,45;19798990,25;286842,43;290931,8761;30325,56633;26795,98712;37242;35414;336280,9305;344584,2576;401446,8009;415397,5031;145735,813;146660,3501;58088;53317;64423;60839;45062;28234
21676;21638;22752;23026;22386;22011;16925;16881;62703;63380;67980;66390;27321;27636;27475;26497;30282;30605;30070;31136;40963;44544;228385;229369;19835924,16;20539503,04;288209,8974;283963,6634;30246,59007;28996,51854;36293;35725;343436,4839;340627,0036;400418,7644;419300,8093;144273,9135;148742,9548;51699;52785;61381;62819;38605;29731
22052;22582;22575;23022;22333;21836;16625;17069;63785;62131;66985;68615;28158;27823;27355;26737;31178;30037;30426;30900;41849;41344;227578;237313;20302745,46;20510500,94;289259,8717;284847,8556;30311,87726;32813,62848;36197;35159;341042,5213;335782,7028;400754,0904;410687,238;145999,5638;148514,3456;49888;46935;60819;60801;41117;29747
22521;23478;22857;23366;21767;21580;17114;16669;63701;63401;67934;67152;27739;27385;27364;27653;31094;30174;31096;30949;42015;42028;223027;229293;20195902,73;20377050,83;292393,6586;287250,4732;36428,67996;30952,47773;35540;35057;344415,2186;344707,3022;399934,3571;421617,4118;145850,729;146023,3143;47732;55351;63287;61005;40784;28141
22272;22922;23063;22872;22214;22946;16668;16958;62460;64450;68306;68390;27153;27731;26446;26962;29570;30303;30023;30949;41249;44510;237259;225156;20366228,33;19605250,94;285168,4532;296368,5307;28877,80973;31460,54399;36434;35704;345982,1324;348638,6484;398417,7887;440179,8019;145575,1543;150440,8618;57536;53785;62531;60795;43059;29151
21731;21828;22893;22656;22313;21644;16719;16850;63630;65071;66381;67204;27989;27217;26587;27072;30223;30515;30771;30264;41414;43944;223222;223586;20025823,41;20465602,08;286863,2656;294894,8128;33367,96144;30090,86583;35657;35324;338571,614;339853,7164;405284,3736;422530,2633;145518,9826;149096,121;49520;53982;64065;61251;40900;28546
22058;21381;22239;22799;21723;21646;16666;16696;63086;63259;66788;66061;27589;28068;27283;27385;30654;30441;30845;31284;41656;43077;217166;230074;20562577,36;20185840,08;289610,1786;292215,1565;33390,62767;27179,05176;36063;35285;341438,144;342708,9241;399963,4526;446467,5542;147041,7478;148451,3788;54957;54178;62859;60804;42020;31310
22357;21512;24959;23163;23093;23149;16602;16930;63098;64263;67533;67752;29443;28117;26931;27006;30051;31133;30646;30930;43184;45177;229010;226070;20260771,99;19742156;281834,0782;291366,4188;29271,68921;30061,18874;35894;36592;350166,3237;343862,8242;399267,8351;421764,7372;146036,2873;149238,1701;55509;45394;61991;61463;42891;27675
21626;21793;22825;22106;21644;21705;17084;16877;62368;63500;68648;66525;27270;27014;27271;26943;30775;31239;31432;30312;41208;43475;224213;223961;19926602,4;20542598,51;282518,7315;286934,5827;31806,66293;29611,40295;36175;35759;339109,7554;336993,4791;402418,1556;425388,0107;145896,8995;145703,2891;48926;49913;61183;62951;40449;29148
22194;21601;23195;22977;22083;22338;16775;17148;63250;64061;68091;67826;27753;27334;26409;26844;30037;31786;30754;30574;41691;41757;229454;215768;21090057,15;21322550,38;284975,9142;286707,3638;33859,57903;24902,25602;35680;35584;339195,9974;338446,8041;399953,2631;422857,0722;145086,8842;147384,5017;49588;51036;63240;61997;42514;28574
21829;23088;22490;22582;22360;22222;16797;16423;62897;63609;65668;67867;27357;27952;27563;26869;30553;30301;31122;30753;43714;44576;227715;227666;19952087,23;19595871,83;281339,9441;292610,1708;32489,8674;30910,63413;35633;35187;341500,3046;339203,4971;401188,6606;408956,8422;146264,8514;152520,8577;51223;54761;61867;61390;41666;29907
22142;21484;22609;22647;22671;21731;16996;16511;64577;63257;67669;67850;28103;27735;27049;26652;30410;30644;32597;30634;42214;45256;240510;218398;20173211,22;19672162,92;286024,8698;293197,3399;31423,83089;26736,09241;35497;35552;348617,8193;342886,508;399256,873;413725,1362;145453,0388;148670,7853;56027;51149;60838;62176;38303;29556
21745;22012;22871;22438;22421;21700;16318;16592;62297;62220;67515;66802;28539;28069;26722;26711;30361;30345;31220;31177;42876;44170;242295;222321;19713144,85;20489073,31;282872,3069;288318,2296;35188,12435;25863,54337;36516;35917;337356,1813;355877,4218;398159,3609;422763,5805;146318,5431;145776,496;52457;54604;61564;60291;45379;27966
21640;22348;22435;22223;22024;21772;16886;16675;63733;63222;69415;69329;27629;27369;26598;26474;30645;30967;30796;30274;41919;45260;222823;235085;20322905,49;20978223,42;287789,6242;290228,9894;30115,91459;30303,79046;36314;35598;344168,3032;344542,2385;400329,6443;425855,7781;145088,704;147412,8221;57540;59103;63594;59394;43359;28969
22060;21551;22799;23620;22694;22636;16867;16890;64032;63278;67557;67874;27077;27347;27272;27425;30110;30742;30969;31053;41139;41810;224446;234545;19730200,6;19481041,82;286422,7411;288100,4876;30758,05735;29642,52035;35729;35722;339126,0024;341045,9595;401139,0269;413480,5535;145574,5157;150478,0216;50590;50194;61260;62534;43138;28865
21903;22222;22595;22427;22221;21555;17103;16866;62677;63670;68424;68546;27546;26818;27070;26968;30381;30256;30740;30338;41329;44605;229771;214477;20076121,99;20397813,91;283262,9388;287842,2764;29027,27028;31969,00554;36618;35480;353789,515;351335,8218;399734,5317;414622,1436;147235,3048;151684,5423;54798;55408;63270;60952;40457;28677
21294;21645;22774;22809;22022;22304;16722;16706;63581;62342;66840;67329;27548;27879;26830;26905;29864;31824;30701;30258;42027;44136;224366;223726;20447545,23;20009994,21;282558,1365;289362,977;32236,59011;27814,79932;35256;35774;346630,5264;338691,8986;401708,8019;419810,5508;146521,7713;148346,8067;50198;52730;63068;62839;42174;28689
23858;22991;23049;23304;22153;22997;16789;16711;62825;63756;65766;70521;27430;27585;26895;26524;30345;30890;31351;30882;43471;41899;224625;241878;19934186,49;19541374,97;284853,001;289348,4925;30650,82374;31642,27794;36284;35756;354623,3786;337156,4678;406009,1734;417260,0072;144917,4416;148546,828;50479;49805;61813;60946;43172;29236
21724;21866;22626;22293;21955;21750;16839;16665;62727;64363;67641;66944;27471;27533;26780;26596;30706;30479;31145;30595;41960;41885;225597;227872;19555925,8;19638445,05;286174,9967;292895,4731;31418,30519;30753,00745;35286;37369;338278,0565;339104,3014;401981,0149;434191,9531;146019,7274;148908,6291;57152;51457;60996;60493;39329;29044
22286;22859;22661;23202;22091;21993;17094;17294;62048;63079;67833;69561;27490;27204;26949;26692;30015;30733;31103;31196;44225;42743;223377;229295;20472746,07;19751200,73;286665,2373;289839,8022;26552,41402;32505,67866;36974;35590;342413,2128;337387,0662;404820,5868;401911,9627;145825,433;147542,9928;51763;53442;61661;61506;45449;29026
23021;23018;23524;22522;21391;21481;16557;16629;62841;63879;66924;67992;27817;27441;27275;26726;30248;30094;30302;30771;42708;42830;231186;224559;20085959,61;19877714,81;284482,1035;290885,0986;29940,5942;27713,02696;35640;35691;345512,3455;341526,4693;403789,2385;411398,0464;146011,808;146357,259;59661;60703;62086;61357;45027;27962
21821;21710;22890;22339;22262;21809;16875;16456;63888;63161;66208;67284;27439;28176;26772;26233;30500;29957;30054;30532;42843;43258;229422;223087;20147037,79;19902247,1;282299,6519;285712,9765;32655,4423;27863,2584;36214;35759;339165,6682;344437,7866;402749,0843;409003,0423;145491,9757;147032,2567;61986;54937;61543;61042;44381;28361
21673;21374;22602;22630;21607;22267;16869;16602;64145;62711;67095;67633;27493;28574;26783;26933;31307;30675;30732;30790;40733;44236;235924;218818;19645336,09;19523278,13;293732,461;287949,9471;31936,57731;34979,56224;36249;35825;343379,4403;334455,839;401171,812;431364,9769;146125,295;147764,8428;56940;52466;62018;62222;41107;27518
21795;22329;22721;22487;22297;21646;17186;16557;62842;62776;67776;67932;27741;27916;27199;27041;31074;30696;30254;29604;41260;43007;228491;222869;19982354,42;19461591,67;287870,3329;294234,2248;30684,36584;29546,43428;35329;35547;357111,227;341972,7863;400845,8417;438216,8309;146389,8409;148165,1445;53242;51964;63279;60964;38075;28599
22213;21483;22606;22440;22182;22132;16905;17389;64062;64023;67132;67078;28850;27746;26447;26499;30583;30077;30316;30510;41998;43273;224244;230539;21089638,84;20222101,02;283847,1784;291335,5744;31809,35108;33611,71158;35636;35030;345543,0308;344193,3661;408427,1662;426713,5255;145874,5589;151369,5091;56596;49104;62647;61817;39319;28605
21860;21818;23525;22682;21594;21594;17044;16756;61698;64303;66462;68370;27626;27693;26558;26976;29846;30524;31000;30912;41535;41509;226713;230356;19604129,32;19761547,84;285113,7148;284537,072;32966,55621;29879,6924;36157;35893;337520,1672;339405,5066;399982,6446;424299,5513;145768,5494;146120,7622;52871;56857;61520;61221;39168;28565
22677;21691;22669;22540;22512;22011;16710;16681;64483;61860;66643;68667;27204;27411;27807;26867;30055;30334;33092;31718;40924;47719;240923;227392;19819539,72;20201778,1;286252,9254;286327,6916;30552,05434;28062,91536;36133;35318;336621,4485;340923,9901;401318,5001;421242,7629;146062,4439;152667,3349;56606;53159;61972;60736;41386;31014
21482;21515;22678;23003;21440;22968;16980;16871;62244;63095;67960;66249;28135;28307;27269;27935;31167;30958;30757;30950;42555;42776;234342;234268;19947889,51;19822857,67;286527,3257;282934,633;33437,5913;32504,42094;35978;35507;350533,976;336917,2853;396928,4229;428833,0433;146004,5865;147761,9853;54078;54114;63626;60348;42636;30340
21374;21382;22591;22671;22158;21796;16669;16860;66093;64098;67267;67712;27306;27449;27597;27054;31071;30137;31078;31126;42378;42289;239094;230837;19754963,71;20286652,59;286464,2904;288065,5469;27597,43946;28897,46498;36309;35395;347464,8867;343331,6063;402642,4287;438223,5996;146090,0227;146564,6366;50767;49535;65070;60437;41973;28807
21378;21968;22503;22206;22319;23464;16814;17295;62659;63741;66953;68157;28101;27268;27133;27358;30891;30583;30798;30897;41443;45152;222189;228252;20796747,71;19906505,42;292378,1232;291935,8556;30398,15194;29848,56605;36449;35411;347108,2528;342787,1255;401027,8294;414364,6673;145570,9068;149346,8101;48863;57294;62587;61592;41854;28273
23042;21654;22452;22826;22125;22124;16500;16879;62577;63648;69930;69013;28154;27055;27355;27652;30246;30814;29661;30279;41753;43295;222106;232443;20335790,85;19990574,95;290028,5257;290173,3911;34512,43066;31866,46412;37054;35651;337066,3361;338907,1253;403407,6402;431140,8103;145540,2785;147203,0412;54832;54337;62579;60613;40957;28039
21927;22096;22128;22733;22218;22413;16876;17042;62406;63197;68037;68112;27242;27245;26927;27655;30266;30655;31598;30810;41883;43831;221514;230470;20137326,14;19465714,25;287235,2538;287999,7377;28845,73609;34680,55719;35972;35514;338112,3715;358479,226;402105,8258;426806,5129;145548,805;146990,6451;54435;46367;60530;61538;39282;28651
23077;22142;22910;22354;21891;22257;16423;16719;61950;63696;67720;69571;26720;28196;26888;27476;30031;30655;31207;31212;41076;42659;229709;229842;19807871,76;19665513,25;294695,2263;286442,7519;31353,8299;28075,74589;36552;35689;342278,3221;344320,4143;396154,5071;422241,84;145271,4325;152238,8468;59717;58241;62465;61225;39952;28818
22034;21884;22752;22492;22946;22150;16858;16867;63047;63546;69780;66372;28104;28045;26341;26897;30968;30044;30271;30647;40669;43529;228060;218589;19565802,38;20427260,48;287057,7984;294459,4831;34857,8418;31318,11093;36601;34832;344526,6464;342387,0651;407693,2929;421287,8499;144520,7397;148988,3812;54425;52360;61610;61745;42873;29667
21571;21381;22463;23751;21310;21830;16731;16847;62542;62151;67304;66293;28243;27437;26994;26462;30387;31195;30773;31244;41393;44346;228980;229380;19770793,79;20780079,5;285455,6774;285160,9208;30745,09298;26776,73354;35998;35643;343117,9967;336130,3089;399446,2761;419613,2292;145486,7189;147328,2721;53975;59066;61168;62066;43221;27650
21801;21382;22669;22464;22235;22069;16652;16716;62789;63183;66793;68772;27297;27172;26539;27305;30499;32403;30526;30889;41849;42235;220936;227633;20041333,08;19558092,86;288189,6789;283676,6082;33069,69156;29490,98152;35385;35795;340727,0609;338462,1624;405499,8256;432229,5515;146697,402;146676,5751;50173;52471;60865;60830;42553;29027
22023;23002;22659;23312;22347;22300;17155;17548;63313;63896;69381;68062;27859;26773;26995;27252;30909;30621;30544;30432;41860;40914;216064;225226;20618667,25;19660827,42;279922,9199;287135,1886;28894,87442;28255,10997;35854;36191;350653,8575;341080,1421;397041,9348;427981,4429;145245,2096;146776,2595;49846;53148;62051;60958;42912;27876
21457;21391;22604;22753;21783;21636;16624;17062;63057;62938;67707;70239;27661;28183;27086;26857;30840;29763;30379;30836;40922;43368;217694;234186;20116026,86;19467463,72;293666,6433;283818,4008;34361,28491;26996,31078;35485;35981;340475,8427;345842,05;401849,2693;420106,6162;146424,9143;145867,4158;57111;53624;62203;62936;42727;27292
22564;22255;23255;22922;22546;21538;16738;17197;63591;62858;69746;66729;27800;28660;26733;27026;31033;30716;30534;30908;41441;43051;223966;227715;19851892,13;19483663,13;287562,1989;289653,0816;33550,45957;26349,45578;35732;35112;349548,4943;344879,9699;398204,6625;448270,1095;145772,7818;148848,9754;55319;50412;61929;61202;42250;30835
21748;21683;22768;22795;22164;22879;16465;16629;62973;63206;66228;69666;27067;27121;27048;26181;30647;30625;30565;30585;41034;41573;232298;218397;20497936,63;19689295,61;287648,8262;283452,3203;28151,07906;31023,45135;36291;35380;332375,4678;344947,8684;408423,4418;424452,8415;146472,9199;146893,0178;60355;54227;62645;60397;42018;29609
21881;21632;23023;22390;21731;21981;16932;16811;62583;62262;67130;67536;27407;27532;26767;26822;31027;31061;30085;30774;41501;44745;223261;224977;20684235,51;19636369,68;286127,8676;288521,5345;32594,86106;30077,74211;35593;35832;338934,9899;337473,5761;394378,6136;423984,2287;145980,5969;148168,0145;58789;53907;61958;60540;41571;28593
21596;22682;22612;22899;22659;23027;16685;17051;62120;62128;68904;66861;27697;27740;27618;27394;30631;31021;30894;30392;42988;44341;226558;235444;20374008,02;20337147,18;283451,5291;287601,2071;34394,97118;31096,52928;37314;35445;336658,3911;346068,2957;397787,4016;434209,0835;146600,0678;147274,1279;57808;53626;62214;61757;41557;29481
22220;21673;22550;22778;21643;22848;16767;16908;65173;63704;68181;67703;28150;27797;27127;26482;30461;30615;29950;30465;42097;46355;233838;220651;20257724,55;19804328,56;284677,6785;295846,5618;30321,67466;30441,75302;36257;35953;349542,7963;350860,7187;413820,3425;420318,6504;146488,6223;147918,9867;60018;57443;62298;61481;43652;27987
21505;21746;23175;24164;22442;21835;16539;17089;62729;64173;67081;67849;27436;27442;27125;26599;31067;29771;31379;30695;42606;44574;221133;223917;20085566,8;20753573,84;292219,4574;286735,6146;34796,10201;29052,65506;37719;35321;353758,7189;341785,5389;397505,668;446809,0033;145811,2465;147799,6438;54663;50804;62170;62211;46366;28278
21866;22145;22376;22116;22158;21799;16460;16605;63403;62948;66902;67244;26968;27408;26258;27285;30455;31042;30616;30323;41634;43280;225031;222044;20386353,49;20289415,99;283178,8317;295039,682;33804,08828;33729,18024;35974;35089;341110,9508;340372,4593;400357,1012;424283,9612;146043,4152;147969,9043;47996;55396;62630;61353;41937;29030
21381;21778;22818;23360;21684;22649;16741;16442;62455;62674;66751;68492;27852;27149;26674;26233;30442;30402;30671;30199;41360;43154;228804;214781;20599816,58;19530614,64;284099,638;294404,1362;28498,18697;29968,11172;35602;35817;334334,9719;358573,7797;402926,9479;428425,2415;146670,8895;148757,902;52237;55791;62563;60404;42151;28479
22520;21553;22478;22520;21607;22351;17089;16806;62024;63583;66847;66780;28765;28561;26940;26579;30908;30257;30530;30346;41698;41703;228230;228675;20568427,84;19824537,08;301228,1563;291809,3509;33080,64005;31230,73585;36292;35284;343004,5782;340586,6028;398258,5248;421409,6495;146510,6359;147383,1087;54765;48312;61551;61803;44721;29440
22556;21307;22172;22929;21577;21481;16548;16416;63607;63451;66838;66953;27241;27325;27082;26998;30136;31050;30562;30539;41614;43814;229287;220852;20256353,78;19705485,75;281443,4599;286622,5492;35014,86193;32599,2314;36561;35545;342489,5385;340693,5758;397119,1546;427286,7355;145791,6462;146736,24;49537;53543;64552;60957;44891;29077
21956;21391;22568;22269;22414;22488;16557;16702;62500;62093;67165;68889;28051;27110;26393;26523;30845;29864;30847;30824;42185;42864;250475;211310;20145450,35;19592283,21;285257,1259;281504,3695;31122,16797;28679,50937;36288;35792;341236,9552;342423,5521;404951,8474;425513,0439;147140,51;147418,0101;55679;48350;64158;62575;40014;28173
21923;22082;22760;22975;22026;22386;17129;16968;63302;62572;68460;67936;27118;27946;27114;27289;30109;31158;31301;30250;42706;44315;217817;220424;19944870,98;19557697,64;284682,8256;289667,8945;37984,35247;29209,17108;35335;35906;337752,2985;349290,0372;402411,6259;433117,3602;145638,5037;146902,5595;51916;55307;62404;59967;42071;29002
21709;22088;22637;23001;21832;21427;16529;16532;63043;63310;68082;67024;27232;26978;26891;27049;30781;30985;30218;31396;41487;42291;223062;225471;19753025,47;20575742,49;285273,3617;283733,1277;34106,76524;31109,1009;36407;35717;341732,6015;346951,7886;399950,5716;424923,5646;146956,4924;148217,7699;53356;53123;61643;61425;44767;29794
