100aC;100aS;100eC;100eS;100dC;100dS;120C;120S;130C;130S;150aC;150aS;150bC;150bS;150cC;150cS;200aC;200aS;200bC;200bS;202C;202S;535aC;535aS;1000C;1000S;1323C;1323S;1400C;1400S;1748C;1748S;1889C;1889S;2392C;2392S;3038C;3038S;3795C;3795S;5934C;5934S;7397C;7397S
22616;22350;23685;22881;22386;21736;16790;16760;62815;63303;67629;68905;26846;27545;26986;26866;30552;30141;30523;30926;41549;43142;229165;225229;19934638,26;19681353,83;288571,4124;290653,2475;29169,09228;31380,88335;36272;35025;337877,4941;359066,9288;404005,3315;414104,9645;145302,7134;152454,7623;47269;47319;61954;60666;43508;28399
21733;21624;22275;23105;21754;22807;16981;16699;62599;63900;67287;66924;27332;27090;27232;26281;29526;30649;30415;30382;40838;43937;228973;217407;20433980,3;19773864,03;282990,804;293776,6019;31209,23146;32418,50151;35446;35689;349593,0165;350708,1832;400844,4062;411694,4297;147046,5155;145773,8152;50522;56747;64305;61599;42866;28755
21622;21691;23935;22543;22318;21661;17293;16589;63123;63615;67042;68014;27192;27381;27145;26803;30590;30731;31320;31251;41017;42800;224299;220298;19879244,42;20259923,69;285087,3046;286180,5181;33415,13882;28373,1614;37206;35292;355507,7602;340387,7803;401924,4012;406979,9196;146806,0978;150060,1248;52538;56208;61907;64457;42942;29014
21925;22496;23453;22677;21375;21330;16683;16720;62441;62616;67031;68426;27833;28254;26764;26339;31107;30470;30686;30652;41016;45438;228725;236294;20581060,98;20056900,35;302844,118;297159,9887;31705,08987;29314,96656;35591;36480;341994,2165;335172,8262;403801,0828;414390,2569;146301,0094;148579,9119;48954;50279;60958;61984;38346;30589
22727;22299;23303;22436;22025;22689;16701;17121;63403;63189;69015;66409;27514;27318;27013;27406;30930;30516;30667;30370;40962;42990;230615;226400;20016894,46;20368432,35;286726,1877;283601,2984;27786,34473;31706,00545;38418;35472;343530,9706;344480,8147;400512,3567;426742,5783;145166,6742;150334,4029;49741;51356;60962;61579;39393;29011
22136;21821;22580;22446;21732;22138;16629;16677;61553;63883;67219;67313;29878;27864;26736;26885;31235;30771;31281;30190;42257;45469;227376;228087;20207199,71;20213940,7;286177,217;295330,5599;32184,67673;27380,38856;35721;35258;338061,6943;352448,4279;400033,8368;415776,3897;144999,4167;149950,96;49336;54891;63268;62954;43358;29445
21487;21709;22730;22365;22912;22882;16868;16873;64962;62067;66760;68573;27464;27278;27094;27268;30750;30406;30442;30739;42133;44361;229067;221118;20869428,41;19600605,24;285922,6351;286394,6871;35497,90308;31904,74429;35833;35177;335833,91;346650,73;400429,2982;407347,0575;146830,9139;147622,0596;51822;52421;62506;62279;42486;30093
22264;23001;22949;22437;21731;21521;17018;16995;63225;63632;67060;67476;27384;27240;27618;27193;30127;31168;30770;31260;42161;42609;244844;223524;20502988,95;19654235,64;282649,0528;288351,2949;33705,72627;26635,59673;35734;35434;336374,2703;348516,1156;402432,8027;421005,4592;145704,99;147760,6886;52320;56858;62341;61768;40073;28483
22373;22019;23674;22937;22011;21771;16993;16809;62572;63311;67339;68154;28289;27426;27238;27216;30667;30397;30820;30543;43600;41215;225528;236121;20204541,59;20582586,69;286144,2951;287991,2447;37485,05514;33757,22913;36304;35564;349438,5691;346339,6017;400233,2854;416848,7875;145367,7017;151958,4453;46328;55687;61482;63147;42643;28334
21745;21514;23873;22593;22324;21624;16643;16910;63330;62976;66708;67595;27437;27982;26915;26900;30941;30893;30372;30954;40786;41637;231968;234597;20037873,9;20182661,91;286593,0776;283394,3549;32659,86161;27336,65635;35632;36224;337909,0636;344456,0457;402936,6077;426258,729;145631,7138;147594,4284;52350;55921;63233;60560;39445;27967
