BCSMASS_Ponto_1;BCSMASS_Ponto_2;BCSMASS_Ponto_3;BCSMASS_Ponto_4;BCSMASS_Ponto_5;BCSMASS_Ponto_6;BCSMASS_Ponto_7;BCSMASS_Ponto_8;BCSMASS_Ponto_9;BCSMASS_Ponto_10;BCSMASS_Ponto_11;BCSMASS_Ponto_12;BCSMASS_Ponto_13;BCSMASS_Ponto_14;BCSMASS_Ponto_15;DUSMASS25_Ponto_1;DUSMASS25_Ponto_2;DUSMASS25_Ponto_3;DUSMASS25_Ponto_4;DUSMASS25_Ponto_5;DUSMASS25_Ponto_6;DUSMASS25_Ponto_7;DUSMASS25_Ponto_8;DUSMASS25_Ponto_9;DUSMASS25_Ponto_10;DUSMASS25_Ponto_11;DUSMASS25_Ponto_12;DUSMASS25_Ponto_13;DUSMASS25_Ponto_14;DUSMASS25_Ponto_15
0,2469532;0,2469532;0,22766353;0,22766353;0,21807827;0,20413329;0,16398533;0,28311425;0,31471208;0,26144746;0,26144746;0,26144746;0,28311425;0,22933722;0,1863457;1,7186996;1,7186996;1,527787;1,527787;1,2132418;1,2380294;1,1020801;0,91260225;0,7429676;0,8959894;0,8959894;0,8959894;0,91260225;1,002098;0,9640061
0,24289484;0,24289484;0,22484574;0,22484574;0,18216063;0,17741437;0,15879135;0,29624647;0,34954932;0,2763786;0,2763786;0,2763786;0,29624647;0,23980948;0,19523199;1,855422;1,855422;1,532645;1,532645;1,0874025;1,1565534;1,3657897;1,0424225;0,8202852;1,046567;1,046567;1,046567;1,0424225;1,1189086;1,1769023
0,22195241;0,22195241;0,20360203;0,20360203;0,17212157;0,16648203;0,13554661;0,26548836;0,2834139;0,26042113;0,26042113;0,26042113;0,26548836;0,23028453;0,17101142;1,9858068;1,9858068;1,9388416;1,9388416;1,485665;1,3534119;1,3860092;1,2211382;1,0594423;1,4528891;1,4528891;1,4528891;1,2211382;1,4356667;1,3238802
0,22607519;0,22607519;0,19903207;0,19903207;0,16671062;0,16598772;0,11562431;0,23611413;0,2617845;0,20094001;0,20094001;0,20094001;0,23611413;0,17904556;0,13865447;1,5450219;1,5450219;1,4499352;1,4499352;1,0736678;1,0904615;0,805555;0,78665376;0,68715286;0,8027148;0,8027148;0,8027148;0,78665376;0,78870136;0,77180684
0,25220293;0,25220293;0,22748807;0,22748807;0,19717665;0,18028429;0,14194669;0,30796486;0,33009985;0,27351373;0,27351373;0,27351373;0,30796486;0,2325635;0,17143115;1,7009152;1,7009152;1,6280209;1,6280209;1,3706256;1,2426693;1,177313;1,0592587;0,86662364;1,042402;1,042402;1,042402;1,0592587;1,0262204;1,0110877
0,24995087;0,24995087;0,22871774;0,22871774;0,18846244;0,19325432;0,13799167;0,3287609;0,34844875;0,31627584;0,31627584;0,31627584;0,3287609;0,28109446;0,20291536;1,8769959;1,8769959;1,6856619;1,6856619;1,4513736;1,3590586;1,0929657;0,9936141;1,1567926;1,0406977;1,0406977;1,0406977;0,9936141;1,0269215;0,9883194
0,32915774;0,32915774;0,29655477;0,29655477;0,27139726;0,26427227;0,21161164;0,4415858;0,41699445;0,46623483;0,46623483;0,46623483;0,4415858;0,43816832;0,34080446;0,7255976;0,7255976;0,6876516;0,6876516;0,5483032;0,55340207;0,63345444;0,45507914;0,37324753;0,50981593;0,50981593;0,50981593;0,45507914;0,57259995;0,58670694
0,36739814;0,36739814;0,34493655;0,34493655;0,31739038;0,28795543;0,2141984;0,43757027;0,46534196;0,45114705;0,45114705;0,45114705;0,43757027;0,4118598;0,3060373;1,1385303;1,1385303;1,038736;1,038736;0,9590933;0,977788;0,7966342;0,8288804;0,5645413;0,83059216;0,83059216;0,83059216;0,8288804;0,89446765;0,7894688
0,45767948;0,45767948;0,4826;0,4826;0,48720628;0,47388944;0,32325372;0,49853942;0,48878607;0,40683833;0,40683833;0,40683833;0,49853942;0,3860893;0,31545573;1,1634415;1,1634415;1,1183114;1,1183114;0,9843706;0,88186747;0,80924344;0,6723044;0,6898647;0,62157047;0,62157047;0,62157047;0,6723044;0,6213134;0,62762463
0,7663667;0,7663667;0,7474972;0,7474972;0,7539488;0,6093333;0,4647843;0,582402;0,70020515;0,5831501;0,5831501;0,5831501;0,582402;0,54956365;0,47785264;1,5406635;1,5406635;1,4964814;1,4964814;1,3579105;1,3065016;1,2158947;1,1680415;1,1025457;1,2547061;1,2547061;1,2547061;1,1680415;1,2464782;1,1711792
0,4784063;0,4784063;0,46104953;0,46104953;0,35973963;0,34969598;0,28627625;0,35386893;0,35887152;0,32283595;0,32283595;0,32283595;0,35386893;0,3012593;0,27517423;1,6761324;1,6761324;1,54272;1,54272;1,0829676;1,2596284;1,1833327;0,8862636;0,74933034;0,8021289;0,8021289;0,8021289;0,8862636;0,86714494;0,9918523
0,41460526;0,41460526;0,3738112;0,3738112;0,2924998;0,23724273;0,15877926;0,2579403;0,27130857;0,20982544;0,20982544;0,20982544;0,2579403;0,19467126;0,16351926;1,294596;1,294596;1,2625767;1,2625767;1,0531075;0,9383044;0,83758104;0,8091362;0,68180865;0,79396087;0,79396087;0,79396087;0,8091362;0,86352754;0,87057596
0,24083602;0,24083602;0,22306943;0,22306943;0,1948402;0,19203477;0,1638282;0,24642868;0,25414196;0,20211838;0,20211838;0,20211838;0,24642868;0,18717714;0,16227384;2,1780674;2,1780674;1,9147269;1,9147269;1,4453562;1,6194758;1,8704686;1,5060383;1,1051813;1,6571795;1,6571795;1,6571795;1,5060383;1,7054214;1,7233412
0,2534091;0,2534091;0,22984882;0,22984882;0,2031487;0,19573535;0,16040596;0,25495732;0,28059578;0,21321824;0,21321824;0,21321824;0,25495732;0,1895714;0,15908456;2,1447988;2,1447988;1,7958819;1,7958819;1,4947609;1,8314893;2,729255;2,2157562;1,4637401;2,1518056;2,1518056;2,1518056;2,2157562;2,5394394;2,610498
0,21177037;0,21177037;0,19063815;0,19063815;0,16093701;0,15255593;0,117756486;0,21397941;0,2160704;0,16031383;0,16031383;0,16031383;0,21397941;0,1415225;0,11536846;1,270865;1,270865;1,1688049;1,1688049;0,88420075;0,89209396;0,897622;0,78931457;0,5906158;0,7938379;0,7938379;0,7938379;0,78931457;0,8269958;0,8706017
0,25472778;0,25472778;0,23509866;0,23509866;0,18912011;0,1729104;0,14086318;0,22393128;0,23072374;0,16130444;0,16130444;0,16130444;0,22393128;0,14993535;0,122943014;1,5270437;1,5270437;1,3641527;1,3641527;1,0517908;1,1274602;1,0606973;0,90945417;0,7617511;0,78884685;0,78884685;0,78884685;0,90945417;0,8273104;0,8464198
0,32834136;0,32834136;0,2935358;0,2935358;0,26212552;0,21797813;0,17065737;0,26303118;0,28017703;0,20593774;0,20593774;0,20593774;0,26303118;0,18948536;0,15285923;1,6264356;1,6264356;1,576964;1,576964;1,3375173;1,0964828;0,9665099;0,8146458;0,6713528;0,6709578;0,6709578;0,6709578;0,8146458;0,7335414;0,76929736
0,282545;0,282545;0,26375487;0,26375487;0,2493917;0,2307547;0,19477881;0,3887974;0,4043764;0,38161573;0,38161573;0,38161573;0,3887974;0,3650223;0,2773531;1,8914039;1,8914039;1,8337795;1,8337795;1,6998433;1,6624714;1,5417417;1,5083696;1,4048197;1,333612;1,333612;1,333612;1,5083696;1,3881516;1,4368899
0,29176113;0,29176113;0,27002287;0,27002287;0,22954392;0,2331153;0,19244343;0,35841873;0,3849166;0,36844724;0,36844724;0,36844724;0,35841873;0,33847773;0,26547173;1,7853109;1,7853109;1,6642343;1,6642343;1,3191034;1,4865673;1,188625;1,135368;1,0577954;1,2339678;1,2339678;1,2339678;1,135368;1,30959;1,1992598
0,33236465;0,33236465;0,3048641;0,3048641;0,28624758;0,2722226;0,23282015;0,43632498;0,4470006;0,40805227;0,40805227;0,40805227;0,43632498;0,37721577;0,30279875;1,701668;1,701668;1,593461;1,593461;1,3507984;1,2950329;1,0811104;1,1462675;1,0541348;1,1198822;1,1198822;1,1198822;1,1462675;1,1298308;1,0823466
0,6522251;0,6522251;0,5922194;0,5922194;0,51379794;0,56686866;0,44155148;0,5032036;0,47330457;0,4568287;0,4568287;0,4568287;0,5032036;0,46499607;0,38125965;0,9759737;0,9759737;0,9540371;0,9540371;0,76424056;0,85946065;0,82648444;0,6068445;0,51779306;0,5643191;0,5643191;0,5643191;0,6068445;0,6163739;0,6196275
1,2392167;1,2392167;1,2397162;1,2397162;0,950517;0,8945093;0,61840117;0,65899956;0,80353326;0,5521109;0,5521109;0,5521109;0,65899956;0,5527231;0,52778524;2,2760603;2,2760603;2,1804395;2,1804395;1,639251;1,7063502;1,4622146;1,3105134;1,2703401;1,3063524;1,3063524;1,3063524;1,3105134;1,3643843;1,3511535
0,7991888;0,7991888;0,7974401;0,7974401;0,7551055;0,525241;0,38899314;0,54508924;0,6328109;0,5039388;0,5039388;0,5039388;0,54508924;0,48282954;0,4091473;1,1501763;1,1501763;1,1208533;1,1208533;1,0311372;0,92744434;0,7037098;0,82334805;0,7439363;0,7886622;0,7886622;0,7886622;0,82334805;0,8190483;0,75040686
0,37505075;0,37505075;0,36380792;0,36380792;0,34007907;0,2891074;0,18262258;0,27213737;0,2982009;0,21669792;0,21669792;0,21669792;0,27213737;0,1961003;0,1639785;0,69274884;0,69274884;0,638678;0,638678;0,49518633;0,4942026;0,43854177;0,39851183;0,34659007;0,38152474;0,38152474;0,38152474;0,39851183;0,40301093;0,41007236
0,2300359;0,2300359;0,21192001;0,21192001;0,18745017;0,17640267;0,14179076;0,24092494;0,27320394;0,21450993;0,21450993;0,21450993;0,24092494;0,1891612;0,15782422;1,6569988;1,6569988;1,4698511;1,4698511;1,107566;1,097564;1,1730438;0,88919926;0,6009729;0,9788662;0,9788662;0,9788662;0,88919926;1,1013548;1,1582952
0,21042001;0,21042001;0,19160162;0,19160162;0,16311508;0,15271908;0,12292525;0,25658926;0,26243022;0,24436289;0,24436289;0,24436289;0,25658926;0,22798803;0,182902;2,215885;2,215885;1,8963493;1,8963493;1,2583833;1,3752841;1,1868362;1,0422229;0,79398996;1,0055379;1,0055379;1,0055379;1,0422229;1,0190631;1,0036287
0,22096238;0,22096238;0,20220771;0,20220771;0,16691123;0,1501449;0,12656786;0,26236567;0,2748751;0,21649289;0,21649289;0,21649289;0,26236567;0,19590946;0,14847025;1,4421833;1,4421833;1,3259115;1,3259115;1,0952153;0,9734283;1,0411099;0,88347965;0,75662494;0,85426235;0,85426235;0,85426235;0,88347965;0,8855433;0,9320895
0,24971406;0,24971406;0,22883825;0,22883825;0,20703073;0,17706707;0,13206689;0,2800827;0,3156712;0,23393115;0,23393115;0,23393115;0,2800827;0,21464278;0,16848303;1,8583068;1,8583068;1,709059;1,709059;1,3670155;1,2662392;0,9572471;1,0150808;0,8981029;0,9883729;0,9883729;0,9883729;1,0150808;1,0430539;1,0535917
0,22496794;0,22496794;0,20817707;0,20817707;0,18798299;0,15212369;0,11449874;0,24507788;0,24025206;0,1777037;0,1777037;0,1777037;0,24507788;0,16919664;0,12288151;0,83273613;0,83273613;0,8098141;0,8098141;0,70101094;0,53942424;0,47441944;0,4840413;0,49767163;0,4458054;0,4458054;0,4458054;0,4840413;0,43890238;0,4285235
0,27667;0,27667;0,2491327;0,2491327;0,24894392;0,24318564;0,18577437;0,3765115;0,3804038;0,34858987;0,34858987;0,34858987;0,3765115;0,3333949;0,26442733;1,2405878;1,2405878;1,1448628;1,1448628;0,8917412;0,90762717;0,96159416;0,84173125;0,756371;0,8810222;0,8810222;0,8810222;0,84173125;0,9173571;0,9152952
0,27403292;0,27403292;0,24956281;0,24956281;0,21766786;0,19397983;0,15422525;0,3142452;0,35465792;0,3074545;0,3074545;0,3074545;0,3142452;0,2785478;0,21046977;1,6555902;1,6555902;1,5620078;1,5620078;1,1647316;0,97965556;0,89269483;0,86056;0,8580067;1,0467136;1,0467136;1,0467136;0,86056;0,9993048;0,91757727
0,3797821;0,3797821;0,3579078;0,3579078;0,34731355;0,34753668;0,2678901;0,5045486;0,45483252;0,4918897;0,4918897;0,4918897;0,5045486;0,4786915;0,36744598;0,8700782;0,8700782;0,82992405;0,82992405;0,71500665;0,66871214;0,6578616;0,57622594;0,55705667;0,55797625;0,55797625;0,55797625;0,57622594;0,5664402;0,56246203
0,71312565;0,71312565;0,6931168;0,6931168;0,63825256;0,5652096;0,50338465;0,6043993;0,6530429;0,55774903;0,55774903;0,55774903;0,6043993;0,48873606;0,42252758;1,6436654;1,6436654;1,6338094;1,6338094;1,3795637;1,3387444;1,1762427;0,89027715;0,9001524;0,80980927;0,80980927;0,80980927;0,89027715;0,7924683;0,81400585
0,6442565;0,6442565;0,6308091;0,6308091;0,52565616;0,43983725;0,31034276;0,45411888;0,55867565;0,37804753;0,37804753;0,37804753;0,45411888;0,3601719;0,33851844;2,963836;2,963836;2,956025;2,956025;2,140449;2,1929164;1,6375575;1,4798965;1,5852249;1,30425;1,30425;1,30425;1,4798965;1,4495195;1,7315285
